datetime,value,uid,type
2025-05-24 22:09:00,4.8,681,light
2025-05-24 22:10:00,4.6,681,light
2025-05-24 22:11:00,4.4,681,light
2025-05-24 22:12:00,4.2,681,light
2025-05-24 22:13:00,4.0,681,light
2025-05-24 22:14:00,3.8,681,light
2025-05-24 22:15:00,3.5999999999999996,681,light
2025-05-24 22:16:00,3.4,681,light
2025-05-24 22:17:00,3.2,681,light
2025-05-24 22:18:00,3.0,681,light
2025-05-24 22:19:00,2.8,681,light
2025-05-24 22:20:00,2.5999999999999996,681,light
2025-05-24 22:21:00,2.4,681,light
2025-05-24 22:22:00,2.1999999999999997,681,light
2025-05-24 22:23:00,2.0,681,light
2025-05-24 22:24:00,1.7999999999999998,681,light
2025-05-24 22:25:00,1.5999999999999996,681,light
2025-05-24 22:26:00,1.4,681,light
2025-05-24 22:27:00,1.1999999999999997,681,light
2025-05-24 22:28:00,1.0,681,light
2025-05-24 22:29:00,1.0,681,light
2025-05-24 22:30:00,1.0,681,light
2025-05-24 22:31:00,1.0,681,light
2025-05-24 22:32:00,1.0,681,light
2025-05-24 22:33:00,1.0,681,light
2025-05-24 22:34:00,1.0,681,light
2025-05-24 22:35:00,1.0,681,light
2025-05-24 22:36:00,1.0,681,light
2025-05-24 22:37:00,1.0,681,light
2025-05-24 22:38:00,1.0,681,light
2025-05-24 22:39:00,1.0,681,light
2025-05-24 22:40:00,1.0,681,light
2025-05-24 22:41:00,1.0,681,light
2025-05-24 22:42:00,1.0,681,light
2025-05-24 22:43:00,1.0,681,light
2025-05-24 22:44:00,1.0,681,light
2025-05-24 22:45:00,1.0,681,light
2025-05-24 22:46:00,1.0,681,light
2025-05-24 22:47:00,1.0,681,light
2025-05-24 22:48:00,1.0,681,light
2025-05-24 22:49:00,1.0,681,light
2025-05-24 22:50:00,1.7333333333333334,681,light
2025-05-24 22:51:00,2.466666666666667,681,light
2025-05-24 22:52:00,3.1999999999999997,681,light
2025-05-24 22:53:00,3.933333333333333,681,light
2025-05-24 22:54:00,4.666666666666666,681,light
2025-05-24 22:55:00,5.3999999999999995,681,light
2025-05-24 22:56:00,6.133333333333333,681,light
2025-05-24 22:57:00,6.866666666666666,681,light
2025-05-24 22:58:00,7.6,681,light
2025-05-24 22:59:00,8.333333333333332,681,light
2025-05-24 23:00:00,9.066666666666666,681,light
2025-05-24 23:01:00,9.799999999999999,681,light
2025-05-24 23:02:00,10.533333333333333,681,light
2025-05-24 23:03:00,11.266666666666666,681,light
2025-05-24 23:04:00,12.0,681,light
2025-05-24 23:05:00,12.333333333333334,681,light
2025-05-24 23:06:00,12.666666666666666,681,light
2025-05-24 23:07:00,13.0,681,light
2025-05-24 23:08:00,13.333333333333334,681,light
2025-05-24 23:09:00,13.666666666666666,681,light
2025-05-24 23:10:00,14.0,681,light
2025-05-24 23:11:00,14.333333333333332,681,light
2025-05-24 23:12:00,14.666666666666666,681,light
2025-05-24 23:13:00,15.0,681,light
2025-05-24 23:14:00,15.333333333333332,681,light
2025-05-24 23:15:00,15.666666666666666,681,light
2025-05-24 23:16:00,16.0,681,light
2025-05-24 23:17:00,16.333333333333332,681,light
2025-05-24 23:18:00,16.666666666666664,681,light
2025-05-24 23:19:00,17.0,681,light
2025-05-24 23:20:00,17.555555555555557,681,light
2025-05-24 23:21:00,18.11111111111111,681,light
2025-05-24 23:22:00,18.666666666666668,681,light
2025-05-24 23:23:00,19.22222222222222,681,light
2025-05-24 23:24:00,19.77777777777778,681,light
2025-05-24 23:25:00,20.333333333333332,681,light
2025-05-24 23:26:00,20.88888888888889,681,light
2025-05-24 23:27:00,21.444444444444443,681,light
2025-05-24 23:28:00,22.0,681,light
2025-05-24 23:29:00,22.555555555555557,681,light
2025-05-24 23:30:00,23.11111111111111,681,light
2025-05-24 23:31:00,23.666666666666668,681,light
2025-05-24 23:32:00,24.22222222222222,681,light
2025-05-24 23:33:00,24.77777777777778,681,light
2025-05-24 23:34:00,25.333333333333336,681,light
2025-05-24 23:35:00,25.88888888888889,681,light
2025-05-24 23:36:00,26.444444444444443,681,light
2025-05-24 23:37:00,27.0,681,light
2025-05-24 23:38:00,25.41176470588235,681,light
2025-05-24 23:39:00,23.823529411764707,681,light
2025-05-24 23:40:00,22.235294117647058,681,light
2025-05-24 23:41:00,20.647058823529413,681,light
2025-05-24 23:42:00,19.058823529411764,681,light
2025-05-24 23:43:00,17.470588235294116,681,light
2025-05-24 23:44:00,15.882352941176471,681,light
2025-05-24 23:45:00,14.294117647058824,681,light
2025-05-24 23:46:00,12.705882352941178,681,light
2025-05-24 23:47:00,11.11764705882353,681,light
2025-05-24 23:48:00,9.529411764705884,681,light
2025-05-24 23:49:00,7.9411764705882355,681,light
2025-05-24 23:50:00,6.3529411764705905,681,light
2025-05-24 23:51:00,4.764705882352942,681,light
2025-05-24 23:52:00,3.176470588235297,681,light
2025-05-24 23:53:00,1.5882352941176485,681,light
2025-05-24 23:54:00,0.0,681,light
2025-05-24 23:55:00,0.0625,681,light
2025-05-24 23:56:00,0.125,681,light
2025-05-24 23:57:00,0.1875,681,light
2025-05-24 23:58:00,0.25,681,light
2025-05-24 23:59:00,0.3125,681,light
2025-05-25 00:00:00,0.375,681,light
2025-05-25 00:01:00,0.4375,681,light
2025-05-25 00:02:00,0.5,681,light
2025-05-25 00:03:00,0.5625,681,light
2025-05-25 00:04:00,0.625,681,light
2025-05-25 00:05:00,0.6875,681,light
